Replicate,Receptor,Peptide,0,1.00E-13,1.00E-12,1.00E-11,1.00E-10,1.00E-09,1.00E-08,1.00E-07,1.00E-06,1.00E-05,1.00E-04,ATP,Date
1,GLWLp.R018a,GLWL,983.7888408,,953.782281899999,1219.5908629,1085.86810509999,1063.0558496,965.293557,1702.1084182,5875.13104699999,8008.1777817,9993.0071147,19395.4620988999,2022_02_15
2,GLWLp.R018a,GLWL,739.033759599999,,857.841479499999,1550.4789075,1022.1855747,1096.5228243,1215.8254573,1392.2822436,4625.30760159999,9094.7697671,12496.8688864,24551.5784422,2022_02_15
3,GLWLp.R018a,GLWL,674.308633199999,,905.6583284,1385.1825554,1273.15194479999,1366.2561558,1603.6631954,2081.2124185,5076.8691766,15189.3967187999,13847.6751148,28503.7523857999,2022_02_15
4,GLWLp.R018a,GLWL,715.198812,,731.9309908,759.041696,830.193112,517.8411504,653.5125736,1431.4941052,3381.14629,5504.0555908,4789.7769004,14903.496254,2022_04_01
5,GLWLp.R018a,GLWL,696.877272,,677.0200468,790.43552,705.0207528,653.2692432,835.0233992,1310.881094,3651.4847944,5619.305062,6347.1370204,16364.5949896,2022_04_01
6,GLWLp.R018a,GLWL,803.643130000001,,695.9476828,742.10528,714.4631516,633.7433088,688.64287,1220.4627464,3252.6641804,5600.5591556,6419.2160468,18077.2386964,2022_04_01
7,GLWLp.R018a,GLWL,5281.4436414,,4538.7275605,4846.9567246,4815.8641824,6081.9527726,5050.915995,7207.5288676,34606.0428254,46913.1687636,47060.482936,76552.9836738,2022_05_27
8,GLWLp.R018a,GLWL,6775.0522916,,6066.2885524,5747.5560574,9495.011155,7375.747178,8977.3611004,10887.8371154,48426.1238388,55894.6325728,65877.2399944,69432.1112116,2022_05_27
9,GLWLp.R018a,GLWL,5970.6277578,,5949.1117391,7772.129091,6398.5797112,6340.2396384,5356.2634,12029.6094896,42968.0627456,50052.4700574,66930.2548048,61368.290286,2022_05_27
1,GLWLp.R018b,GLWL,704.5297282,,885.636221,7087.98614319999,8604.926147,13968.51447,19806.3070305999,25275.3859717999,31835.4797505999,32213.5032404,33792.8660811999,41284.8043058,2022_02_15
2,GLWLp.R018b,GLWL,574.636905699999,,1063.7339026,1454.051582,1531.47128099999,4314.97170019999,14310.743637,24967.7791119999,32759.5192531999,36617.5593758,37937.8988374,43095.9346735999,2022_02_15
3,GLWLp.R018b,GLWL,589.5871687,,1484.87018959999,1480.04752639999,1728.4881522,3363.1040206,12955.3470975999,24699.1471752,31804.877786,34956.0566399999,36306.0768226,43334.4355048,2022_02_15
4,GLWLp.R018b,GLWL,483.6483256,,939.2473928,3633.1657876,6277.033878,10564.1675172,15367.6032628,25093.2512512,32991.1195944,32696.0016244,31419.5993508,31108.7833188,2022_04_01
5,GLWLp.R018b,GLWL,503.9604216,,1239.1895852,2894.5336616,7135.1998084,11208.8192916,15331.5209304,24882.777006,28390.6171692,35991.505306,30977.1583444,33269.236956,2022_04_01
6,GLWLp.R018b,GLWL,404.9525812,,1174.6646012,2993.8577204,7281.9300808,12572.441816,17236.5777372,22953.6807316,28488.1819536,31159.3175556,33004.7843488,30285.2377036,2022_04_01
7,GLWLp.R018b,GLWL,2531.8410851,,1767.5997356,2023.7987762,4049.4882488,5672.9127982,29194.0436424,50056.616744,67619.4387286,74547.7322504,54311.7141704,73535.1637438,2022_05_27
8,GLWLp.R018b,GLWL,1995.4210047,,1869.3973062,2228.2341978,3353.8132322,5229.6182006,27032.759044,52149.29555,70636.519496,76238.8939514,51175.8920814,70760.8860294,2022_05_27
9,GLWLp.R018b,GLWL,1995.1306405,,1342.6777823,2602.844452,4237.834674,5808.353728,32528.907417,52374.3680548,72166.3897334,74918.2947352,50076.5387042,76892.4584582,2022_05_27
1,HIRa.R021,HIRa3,366.0843816,6106.425949,8030.743555,8121.108672,9278.480627,10592.01176,15030.63725,17806.28474,20427.59284,17273.57572,14746.61126,,2021_07_21
2,HIRa.R021,HIRa3,367.8744888,7885.076616,10031.99986,8799.881581,8611.894905,13117.79487,12547.62991,16013.13852,16944.67703,16307.22099,12004.05743,,2021_07_21
3,HIRa.R021,HIRa3,227.3972624,6149.110933,6316.763783,6742.51585,8951.268526,10040.40516,11752.14719,14424.295,14879.33218,13439.03441,11027.94826,,2021_07_21
4,HIRa.R021,HIRa3,426.6243432,,7307.101499,6025.297698,5826.180597,9391.668404,12419.0211,13478.09875,13798.7574,12537.4422,10810.6368,,2021_04_28
5,HIRa.R021,HIRa3,428.187312,,4003.047099,5462.26042,5243.373068,6161.300033,10477.5661,8794.363399,10431.70603,11118.92585,9309.295979,,2021_04_28
6,HIRa.R021,HIRa3,409.9460904,,1542.003674,1543.931087,1796.548429,1863.149277,2296.986433,2863.73147,3408.084664,2523.229404,2400.055396,,2021_04_28
7,HIRa.R021,HIRa3,443.4125288,,1198.16733,1577.639388,1416.973818,1619.25385,2441.142313,4804.958682,2785.655596,2804.341806,3076.439175,,2021_04_28
8,HIRa.R021,HIRa3,1864.956625,45750.1307352,66577.4227596,63663.0252544,52292.5994246,62932.5678524,74439.7837444,80016.2515686,90177.698011,86076.9814524,71978.9985376001,60292.7420444,2022_05_27
9,HIRa.R021,HIRa3,1917.0632926,47477.996805,50315.6631332,52796.9624816,47700.2880312,74055.026412,87868.8352458,93604.705151,98807.4038048,90444.2889088,89161.6837562,61674.4576128,2022_05_27
10,HIRa.R021,HIRa3,1934.0051844,39770.2058252,52415.6791918,59775.8935536,60294.8537254,52497.285928,89197.128041,87421.194241,94161.2039748,106563.6257748,112888.3109342,68826.794978,2022_05_27
1,HIRa.R029,HIRa3,358.6396338,217.4831932,507.077448,526.3922116,346.3375468,420.6460804,419.862014,1654.006608,14890.35567,25382.16849,21742.96711,,2021_07_28
2,HIRa.R029,HIRa3,360.8135466,365.2159878,274.0330292,257.7707646,528.0896856,454.521765,510.3313976,1743.423054,18577.03772,25753.94765,21352.58427,,2021_07_28
3,HIRa.R029,HIRa3,542.4165436,290.7077632,290.3607112,400.642308,256.833564,400.5761408,438.2214788,2200.538431,13761.14259,19941.62039,14753.38337,,2021_07_28
