Replicate,Receptor,Peptide,0,1.00E-13,1.00E-12,1.00E-11,1.00E-10,1.00E-09,1.00E-08,1.00E-07,1.00E-06,1.00E-05,1.00E-04,ATP,Date
1,GPR21.all.adjusted,HIRa3,6106.425949,,8030.743555,8121.108672,9278.480627,10592.01176,15030.63725,17806.28474,20427.59284,17273.57572,14746.61126,,2021.07.21
2,GPR21.all.adjusted,HIRa3,7885.076616,,10031.99986,8799.881581,8611.894905,13117.79487,12547.62991,16013.13852,16944.67703,16307.22099,12004.05743,,2021.07.21
3,GPR21.all.adjusted,HIRa3,6149.110933,,6316.763783,6742.51585,8951.268526,10040.40516,11752.14719,14424.295,14879.33218,13439.03441,11027.94826,,2021.07.21
4,GPR21.all.adjusted,HIRa3,7307.101499,,,6025.297698,5826.180597,9391.668404,12419.0211,13478.09875,13798.7574,12537.4422,10810.6368,,2021.04.28
5,GPR21.all.adjusted,HIRa3,4003.047099,,,5462.26042,5243.373068,6161.300033,10477.5661,8794.363399,10431.70603,11118.92585,9309.295979,,2021.04.28
6,GPR21.all.adjusted,HIRa3,1542.003674,,,1543.931087,1796.548429,1863.149277,2296.986433,2863.73147,3408.084664,2523.229404,2400.055396,,2021.04.28
7,GPR21.all.adjusted,HIRa3,1198.16733,,,1577.639388,1416.973818,1619.25385,2441.142313,4804.958682,2785.655596,2804.341806,3076.439175,,2021.04.28
8,GPR21.all.adjusted,HIRa3,45750.1307352,,66577.4227596,63663.0252544,52292.5994246,62932.5678524,74439.7837444,80016.2515686,90177.698011,86076.9814524,71978.9985376001,60292.7420444,2022.05.27
9,GPR21.all.adjusted,HIRa3,47477.996805,,50315.6631332,52796.9624816,47700.2880312,74055.026412,87868.8352458,93604.705151,98807.4038048,90444.2889088,89161.6837562,61674.4576128,2022.05.27
10,GPR21.all.adjusted,HIRa3,39770.2058252,,52415.6791918,59775.8935536,60294.8537254,52497.285928,89197.128041,87421.194241,94161.2039748,106563.6257748,112888.3109342,68826.794978,2022.05.27
1,GPR21.all.adjusted,HIRa1,3671.711978,,4658.175493,6037.572878,7913.259896,7464.074183,10308.45535,15577.60804,18285.32678,16473.35464,18006.06652,,2021.07.21
2,GPR21.all.adjusted,HIRa1,4737.065862,,3869.649166,6923.840826,7021.180654,8358.994006,9977.205478,12756.86803,15070.09444,15382.99904,18802.65954,,2021.07.21
3,GPR21.all.adjusted,HIRa1,4096.283026,,3714.700196,4494.934953,6817.798304,7746.013128,8304.552539,10169.59417,14088.23358,12210.18991,15299.2344,,2021.07.21
4,GPR21.all.adjusted,HIRa1,3570.278403,,,4579.957415,7741.892739,7979.252584,9030.259716,14789.51046,18321.98875,22663.45294,19000.21549,,2021.04.28
5,GPR21.all.adjusted,HIRa1,4947.305688,,,6310.934115,8961.858371,8443.162873,13266.28171,17293.73223,21507.83196,19654.28912,15534.11063,,2021.04.28
6,GPR21.all.adjusted,HIRa1,1394.82076,,,1952.283487,2592.52835,3329.550925,6118.564084,4464.285256,4703.665182,6052.251634,6001.947217,,2021.04.28
