Replicate,Receptor,Peptide,ATP,Date,concentration,luminescence,norm_luminescence
1,GPR21.all.adjusted,HIRa3,,2021.07.21,0,6106.425949,0
1,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-12,8030.743555,13.436877180792568
1,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-11,8121.108672,14.067867083275928
1,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-10,9278.480627,22.149414933453833
1,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-9,10592.01176,31.321370982827677
1,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-8,15030.63725,62.31483348335487
1,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-7,17806.28474,81.69626735062114
1,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-6,20427.59284,100
1,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-5,17273.57572,77.97653540381467
1,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-4,14746.61126,60.331573375000886
2,GPR21.all.adjusted,HIRa3,,2021.07.21,0,7885.076616,0
2,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-12,10031.99986,23.697769723732097
2,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-11,8799.881581,10.09763039423164
2,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-10,8611.894905,8.022630753966045
2,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-9,13117.79487,57.758819538152764
2,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-8,12547.62991,51.465330488471146
2,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-7,16013.13852,89.71766449477758
2,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-6,16944.67703,100
2,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-5,16307.22099,92.96375103900913
2,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-4,12004.05743,45.465369616466184
3,GPR21.all.adjusted,HIRa3,,2021.07.21,0,6149.110933,0
3,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-12,6316.763783,1.9203734390764908
3,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-11,6742.51585,6.797134920308165
3,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-10,8951.268526,32.09721167104346
3,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-9,10040.40516,44.5726874142758
3,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-8,11752.14719,64.17977389662826
3,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-7,14424.295,94.78779326289852
3,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-6,14879.33218,100
3,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-5,13439.03441,83.50216186680338
3,GPR21.all.adjusted,HIRa3,,2021.07.21,1e-4,11027.94826,55.88446373769202
4,GPR21.all.adjusted,HIRa3,,2021.04.28,0,7307.101499,0
4,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-11,6025.297698,-19.745405803202633
4,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-10,5826.180597,-22.812683305839943
4,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-9,9391.668404,32.11148182821712
4,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-8,12419.0211,78.74600377713396
4,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-7,13478.09875,95.06044906122327
4,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-6,13798.7574,100
4,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-5,12537.4422,80.57020859953924
4,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-4,10810.6368,53.96982456294859
5,GPR21.all.adjusted,HIRa3,,2021.04.28,0,4003.047099,0
5,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-11,5462.26042,20.506438797807444
5,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-10,5243.373068,17.430397740064024
5,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-9,6161.300033,30.330097090211094
5,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-8,10477.5661,90.98692132844634
5,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-7,8794.363399,67.33274227482688
5,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-6,10431.70603,90.3424461820204
5,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-5,11118.92585,100
5,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-4,9309.295979,74.56913004952916
6,GPR21.all.adjusted,HIRa3,,2021.04.28,0,1542.003674,0
6,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-11,1543.931087,0.10328667460461552
6,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-10,1796.548429,13.64060597391327
6,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-9,1863.149277,17.20962834523061
6,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-8,2296.986433,40.458198923081035
6,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-7,2863.73147,70.82906921419311
6,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-6,3408.084664,100
6,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-5,2523.229404,52.58216204217375
6,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-4,2400.055396,45.98148347248316
7,GPR21.all.adjusted,HIRa3,,2021.04.28,0,1198.16733,0
7,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-11,1577.639388,10.521042693239773
7,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-10,1416.973818,6.066513602974834
7,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-9,1619.25385,11.674823379137349
7,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-8,2441.142313,34.4620706243725
7,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-7,4804.958682,100
7,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-6,2785.655596,44.01386470885605
7,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-5,2804.341806,44.53194873912961
7,GPR21.all.adjusted,HIRa3,,2021.04.28,1e-4,3076.439175,52.07597727987454
8,GPR21.all.adjusted,HIRa3,60292.7420444,2022.05.27,0,45750.1307352,0
8,GPR21.all.adjusted,HIRa3,60292.7420444,2022.05.27,1e-12,66577.4227596,46.87920879193573
8,GPR21.all.adjusted,HIRa3,60292.7420444,2022.05.27,1e-11,63663.0252544,40.31932337865657
8,GPR21.all.adjusted,HIRa3,60292.7420444,2022.05.27,1e-10,52292.5994246,14.726146603493468
8,GPR21.all.adjusted,HIRa3,60292.7420444,2022.05.27,1e-9,62932.5678524,38.675169879399164
8,GPR21.all.adjusted,HIRa3,60292.7420444,2022.05.27,1e-8,74439.7837444,64.57624121325107
8,GPR21.all.adjusted,HIRa3,60292.7420444,2022.05.27,1e-7,80016.2515686,77.1280601989319
8,GPR21.all.adjusted,HIRa3,60292.7420444,2022.05.27,1e-6,90177.698011,100
8,GPR21.all.adjusted,HIRa3,60292.7420444,2022.05.27,1e-5,86076.9814524,90.76988273262107
8,GPR21.all.adjusted,HIRa3,60292.7420444,2022.05.27,1e-4,71978.9985376001,59.03737118797217
9,GPR21.all.adjusted,HIRa3,61674.4576128,2022.05.27,0,47477.996805,0
9,GPR21.all.adjusted,HIRa3,61674.4576128,2022.05.27,1e-12,50315.6631332,5.528344265132573
9,GPR21.all.adjusted,HIRa3,61674.4576128,2022.05.27,1e-11,52796.9624816,10.362414038059553
9,GPR21.all.adjusted,HIRa3,61674.4576128,2022.05.27,1e-10,47700.2880312,0.43306798031167903
9,GPR21.all.adjusted,HIRa3,61674.4576128,2022.05.27,1e-9,74055.026412,51.77739459780544
9,GPR21.all.adjusted,HIRa3,61674.4576128,2022.05.27,1e-8,87868.8352458,78.68947023089004
