Replicate,Receptor,Peptide,ATP,Date,concentration,luminescence,norm_luminescence
1,GLWLp.R018a,GLWL,19395.4620988999,2022_02_15,0,983.7888408,0
1,GLWLp.R018a,GLWL,19395.4620988999,2022_02_15,1e-12,953.782281899999,-0.3330650672204376
1,GLWLp.R018a,GLWL,19395.4620988999,2022_02_15,1e-11,1219.5908629,2.617341648643659
1,GLWLp.R018a,GLWL,19395.4620988999,2022_02_15,1e-10,1085.86810509999,1.133053514706343
1,GLWLp.R018a,GLWL,19395.4620988999,2022_02_15,1e-9,1063.0558496,0.8798433603239385
1,GLWLp.R018a,GLWL,19395.4620988999,2022_02_15,1e-8,965.293557,-0.2052928815542352
1,GLWLp.R018a,GLWL,19395.4620988999,2022_02_15,1e-7,1702.1084182,7.973162105318231
1,GLWLp.R018a,GLWL,19395.4620988999,2022_02_15,1e-6,5875.13104699999,54.29263735756484
1,GLWLp.R018a,GLWL,19395.4620988999,2022_02_15,1e-5,8008.1777817,77.96890615082427
1,GLWLp.R018a,GLWL,19395.4620988999,2022_02_15,1e-4,9993.0071147,100
2,GLWLp.R018a,GLWL,24551.5784422,2022_02_15,0,739.033759599999,0
2,GLWLp.R018a,GLWL,24551.5784422,2022_02_15,1e-12,857.841479499999,1.0104557396726699
2,GLWLp.R018a,GLWL,24551.5784422,2022_02_15,1e-11,1550.4789075,6.901314222806619
2,GLWLp.R018a,GLWL,24551.5784422,2022_02_15,1e-10,1022.1855747,2.408196849559526
2,GLWLp.R018a,GLWL,24551.5784422,2022_02_15,1e-9,1096.5228243,3.040432705891282
2,GLWLp.R018a,GLWL,24551.5784422,2022_02_15,1e-8,1215.8254573,4.055097665158058
2,GLWLp.R018a,GLWL,24551.5784422,2022_02_15,1e-7,1392.2822436,5.555856813394425
2,GLWLp.R018a,GLWL,24551.5784422,2022_02_15,1e-6,4625.30760159999,33.05263086349873
2,GLWLp.R018a,GLWL,24551.5784422,2022_02_15,1e-5,9094.7697671,71.06525918580463
2,GLWLp.R018a,GLWL,24551.5784422,2022_02_15,1e-4,12496.8688864,100.00000000000001
3,GLWLp.R018a,GLWL,28503.7523857999,2022_02_15,0,674.308633199999,0
3,GLWLp.R018a,GLWL,28503.7523857999,2022_02_15,1e-12,905.6583284,1.5938566396267195
3,GLWLp.R018a,GLWL,28503.7523857999,2022_02_15,1e-11,1385.1825554,4.89748266085442
3,GLWLp.R018a,GLWL,28503.7523857999,2022_02_15,1e-10,1273.15194479999,4.125660885200484
3,GLWLp.R018a,GLWL,28503.7523857999,2022_02_15,1e-9,1366.2561558,4.7670914466338425
3,GLWLp.R018a,GLWL,28503.7523857999,2022_02_15,1e-8,1603.6631954,6.4026794513358345
3,GLWLp.R018a,GLWL,28503.7523857999,2022_02_15,1e-7,2081.2124185,9.692698914419672
3,GLWLp.R018a,GLWL,28503.7523857999,2022_02_15,1e-6,5076.8691766,30.330925430398757
3,GLWLp.R018a,GLWL,28503.7523857999,2022_02_15,1e-5,15189.3967187999,100
3,GLWLp.R018a,GLWL,28503.7523857999,2022_02_15,1e-4,13847.6751148,90.7563660923905
4,GLWLp.R018a,GLWL,14903.496254,2022_04_01,0,715.198812,0
4,GLWLp.R018a,GLWL,14903.496254,2022_04_01,1e-12,731.9309908,0.3493981877694162
4,GLWLp.R018a,GLWL,14903.496254,2022_04_01,1e-11,759.041696,0.9155187975988344
4,GLWLp.R018a,GLWL,14903.496254,2022_04_01,1e-10,830.193112,2.401289186786153
4,GLWLp.R018a,GLWL,14903.496254,2022_04_01,1e-9,517.8411504,-4.121185299875563
4,GLWLp.R018a,GLWL,14903.496254,2022_04_01,1e-8,653.5125736,-1.2881203437338427
4,GLWLp.R018a,GLWL,14903.496254,2022_04_01,1e-7,1431.4941052,14.957542609563916
4,GLWLp.R018a,GLWL,14903.496254,2022_04_01,1e-6,3381.14629,55.66981016851454
4,GLWLp.R018a,GLWL,14903.496254,2022_04_01,1e-5,5504.0555908,100
4,GLWLp.R018a,GLWL,14903.496254,2022_04_01,1e-4,4789.7769004,85.08456770805776
