"Receptor","Peptide","EC50.ED50:(Intercept)","Slope.Slope:(Intercept)"
"","","",""
"GPR21.all.adjusted","HIRa3","2.07057013335375e-09","-0.926879765550376"
"GPR21.all.adjusted","HIRa1","5.93302904196476e-09","-0.456624848578349"
"GPR21.all.adjusted","HIRa2","3.09906454041124e-09","-1.09189745850848"
"GPR21.all.adjusted","HIRa4","3.4343326715812e-09","-0.862950038617789"
"GPR21.all.adjusted","HIRa5","2.95709876504266e-09","-0.533664387513421"
"GPR21.all","HIRa3","7.6399935275096e-12","-0.157663953903106"
"GPR21.all","HIRa1","1.58673574467501e-09","-0.182854424709611"
"GPR21.all","HIRa2","1.15121670715263e-11","-0.176307627120818"
"GPR21.all","HIRa4","3.37268719616894e-11","-0.168062339113279"
"GPR21.all","HIRa5","1.07571597762572e-11","-0.15814767720193"
"GPR29.all","HIRa3","1.8546057833605e-07","-1.15394412702745"
"GPR29.all","HIRa1","4.11556456742037e-05","-0.875742549147404"
"GPR29.all","HIRa2","5.95993121530237e-07","-1.25786797523758"
"GPR29.all","HIRa4","2.77744024761198e-07","-1.04271845180113"
"GPR29.all","HIRa5","8.4811033134096e-07","-1.32275145472044"
"GPR28.all","PRGa","1.01050465460814e-08","-0.853908607794313"
"GPR28.all","PRGa1","4.68551650648128e-06","-0.828664947767078"
"GPR28.all","PRGa2","5.33816299494636e-06","-1.03617258638355"
"GPR28.all","PRGa3","6.28874911137212e-07","-1.12922059560376"
"GPR28.all","PRGa4","1.43499566267135e-06","-0.930204450188305"
"GPR28.all","PRGa5","6.69055451218916e-06","-0.880012196749312"
"GPR32.all","PRGa","3.41285904331054e-08","-0.467707585406368"
"GPR32.all","PRGa1","7.99317836385289e-05","-0.672924286366791"
"GPR32.all","PRGa2","9.51129692163716e-05","-0.639720146895927"
"GPR32.all","PRGa3","2.48939345582331e-06","-0.503361915564804"
"GPR32.all","PRGa4","2.14703471554529e-05","-0.442150188491593"
"GPR32.all","PRGa5","0.000134463167840697","-0.536933637567277"
